Caressant	O
sa	O
longue	O
barbe	O
blanche	O
,	O
le	O
non	O
-	O
Dieu	B-PER
regardait	O
la	B-LOC
Terre	I-LOC
:	O
il	O
souriait	O
.	O

C	O
'	O
était	O
en	O
l	O
'	O
an	O
3000	O
.	O

Les	O
hommes	O
étaient	O
heureux	O
.	O

Plus	O
de	O
frontière	O
;	O
partant	O
,	O
plus	O
de	O
guerre	O
,	O
plus	O
de	O
service	O
militaire	O
:	O
le	O
monde	O
entier	O
ne	O
formait	O
plus	O
qu	O
'	O
une	O
vaste	O
République	B-ORG
universelle	I-ORG
.	O

Plus	O
d	O
'	O
églises	O
,	O
plus	O
de	O
curés	O
;	O
partant	O
,	O
plus	O
de	O
haines	O
religieuses	O
.	O

Tous	O
les	O
humains	O
adoraient	O
Dieu	B-PER
,	O
mais	O
simplement	O
,	O
directement	O
,	O
sans	O
culte	O
extérieur	O
.	O

Les	O
maladies	O
étaient	O
devenues	O
fort	O
rares	O
,	O
car	O
dès	O
leur	O
naissance	O
les	O
enfants	O
des	O
hommes	O
étaient	O
prémunis	O
contre	O
elles	O
par	O
de	O
savantes	O
vaccinations	O
.	O

Plus	O
d	O
'	O
avocats	O
;	O
partant	O
,	O
plus	O
de	O
procès	O
.	O

Plus	O
de	O
mariage	O
;	O
partant	O
,	O
plus	O
de	O
mauvais	O
ménage	O
;	O
depuis	O
longtemps	O
déjà	O
les	O
humains	O
s	O
'	O
étant	O
aperçus	O
que	O
l	O
'	O
union	O
libre	O
était	O
la	O
seule	O
forme	O
morale	O
d	O
'	O
association	O
entre	O
l	O
'	O
homme	O
et	O
la	O
femme	O
.	O

Plus	O
de	O
pauvres	O
;	O
partant	O
,	O
plus	O
de	O
riches	O
,	O
plus	O
de	O
prêteurs	O
,	O
plus	O
de	O
créanciers	O
,	O
plus	O
d	O
'	O
huissiers	O
.	O

Plus	O
d	O
'	O
héritages	O
;	O
partant	O
,	O
plus	O
de	O
chicanes	O
pour	O
les	O
successions	O
.	O

Plus	O
d	O
'	O
oisif	O
,	O
chacun	O
vivant	O
de	O
son	O
travail	O
;	O
partant	O
,	O
plus	O
de	O
vagabonds	O
,	O
plus	O
de	O
criminels	O
de	O
profession	O
.	O

Le	O
comble	O
de	O
la	O
civilisation	O
avait	O
produit	O
le	O
même	O
résultat	O
que	O
le	O
manque	O
total	O
de	O
civilisation	O
:	O
l	O
'	O
âge	O
d	O
'	O
or	O
.	O

Les	O
sciences	O
avaient	O
fait	O
des	O
progrès	O
fabuleux	O
.	O

Les	O
distances	O
n	O
'	O
existaient	O
plus	O
.	O

En	O
quelques	O
instants	O
,	O
on	O
se	O
rendait	O
d	O
'	O
un	O
bout	O
à	O
l	O
'	O
autre	O
de	O
la	O
planète	O
,	O
grâce	O
à	O
l	O
'	O
électricité	O
.	O

Et	O
les	O
hommes	O
d	O
'	O
alors	O
s	O
'	O
étonnaient	O
que	O
les	O
hommes	O
d	O
'	O
autrefois	O
se	O
fussent	O
contentés	O
si	O
longtemps	O
de	O
la	O
vapeur	O
.	O

L	O
'	O
empire	O
des	O
airs	O
n	O
'	O
était	O
plus	O
réservé	O
aux	O
êtres	O
ailés	O
;	O
de	O
véritables	O
routes	O
y	O
étaient	O
tracées	O
par	O
le	O
va	O
-	O
et	O
-	O
vient	O
constant	O
des	O
aérostats	O
.	O

La	O
viande	O
métallique	O
,	O
la	O
nourriture	O
chimique	O
,	O
avaient	O
remplacé	O
les	O
grossiers	O
aliments	O
du	O
temps	O
jadis	O
.	O

Il	O
y	O
avait	O
bien	O
encore	O
quelques	O
rêveurs	O
qui	O
regrettaient	O
l	O
'	O
époque	O
où	O
l	O
'	O
on	O
voyageait	O
en	O
chemin	O
de	O
fer	O
et	O
où	O
l	O
'	O
on	O
se	O
nourrissait	O
de	O
la	O
chair	O
des	O
animaux	O
devenus	O
introuvables	O
,	O
mais	O
ils	O
étaient	O
rares	O
et	O
peu	O
écoutés	O
.	O

Cependant	O
certains	O
hommes	O
n	O
'	O
étaient	O
pas	O
satisfaits	O
:	O
il	O
y	O
aura	O
toujours	O
des	O
ambitieux	O
et	O
des	O
mécontents	O
.	O

Que	O
voulaient	O
-	O
ils	O
donc	O
?	O

Ils	O
voulaient	O
la	O
Lune	B-LOC
!	O

Et	O
ils	O
l	O
'	O
eurent	O
.	O

Ce	O
ne	O
fut	O
d	O
'	O
abord	O
que	O
projets	O
vagues	O
traités	O
de	O
chimères	O
,	O
tentatives	O
vaines	O
.	O

Mais	O
un	O
jour	O
on	O
apprit	O
qu	O
'	O
un	O
aérostat	O
électrique	O
était	O
parvenu	O
à	O
dépasser	O
l	O
'	O
atmosphère	O
de	O
la	B-LOC
Terre	I-LOC
et	O
n	O
était	O
