UN	un	DET	O	O	O
matin	matin	NOUN	O	O	O
,	,	PUNCT	O	O	O
vers	vers	ADP	O	O	O
dix	dix	NUM	O	O	O
heures	heure	NOUN	O	O	O
,	,	PUNCT	O	O	O
Monsieur	monsieur	NOUN	O	O	O
et	et	CCONJ	O	O	O
Madame	monsieur	NOUN	O	O	O
déjeunent	déjeuner	VERB	O	O	O
dans	dans	ADP	O	O	O
leur	son	DET	O	O	O
salon	salon	NOUN	O	O	O
 	 	SPACE	O	O	O
-	-	NOUN	O	O	O
 	 	SPACE	O	O	O
studio	studio	NOUN	O	O	O
 	 	SPACE	O	O	O
-	-	NOUN	O	O	O
 	 	SPACE	O	O	O
salle	salle	NOUN	O	O	O
à	à	ADP	O	O	O
manger	manger	VERB	O	O	O
moderne	moderne	ADJ	O	O	O
.	.	PUNCT	O	O	O

Monsieur	monsieur	NOUN	O	O	O
est	être	AUX	O	O	O
en	en	ADP	O	O	O
robe	robe	NOUN	O	O	O
de	de	ADP	O	O	O
chambre	chambre	NOUN	O	O	O
très	très	ADV	O	O	O
longue	long	ADJ	O	O	O
,	,	PUNCT	O	O	O
à	à	ADP	O	O	O
nombreux	nombreux	ADJ	O	O	O
godets	godet	NOUN	O	O	O
,	,	PUNCT	O	O	O
Madame	monsieur	NOUN	O	O	O
en	en	ADP	O	O	O
pyjama	pyjama	NOUN	O	O	O
serré	serrer	ADJ	O	O	O
,	,	PUNCT	O	O	O
pantalon	pantalon	NOUN	O	O	O
replié	replier	VERB	O	O	O
dans	dans	ADP	O	O	O
le	le	DET	O	O	O
bas	bas	NOUN	O	O	O
.	.	PUNCT	O	O	O

La	le	DET	O	O	O
scène	scène	NOUN	O	O	O
se	se	PRON	O	O	O
passe	passer	VERB	O	O	O
...	...	PUNCT	O	O	O
demain	demain	ADV	O	O	O
.	.	PUNCT	O	O	O

Madame	monsieur	NOUN	O	O	O
téléphone	téléphone	NOUN	O	O	O
:	:	PUNCT	O	O	O

«	«	PUNCT	O	O	O
......	......	PUNCT	O	O	O
—	—	PUNCT	O	O	O
Allo	allo	INTJ	O	O	O
,	,	PUNCT	O	O	O
allo	allo	PROPN	O	O	O
...	...	PUNCT	O	O	O

Non	non	ADV	O	O	O
,	,	PUNCT	O	O	O
oh	oh	INTJ	O	O	O
!	!	PUNCT	O	O	O

non	non	ADV	O	O	O
!	!	PUNCT	O	O	O
nous	nous	PRON	O	O	O
ne	ne	ADV	O	O	O
sommes	être	AUX	O	O	O
pas	pas	ADV	O	O	O
rentrés	rentrer	VERB	O	O	O
tard	tard	ADV	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
......	......	PUNCT	O	O	O
—	—	PUNCT	O	O	O
Oui	oui	PRON	O	O	O
,	,	PUNCT	O	O	O
c'	ce	PRON	O	O	O
était	être	AUX	O	O	O
bien	bien	ADV	O	O	O
...	...	PUNCT	O	O	O
très	très	ADV	O	O	O
bien	bien	ADV	O	O	O
même	même	ADV	O	O	O
.	.	PUNCT	O	O	O

L'	le	DET	O	O	O
Opéra	opéra	NOUN	O	O	O
était	être	AUX	O	O	O
camouflé	camoufler	VERB	O	O	O
en	en	ADP	O	O	O
boîte	boîte	NOUN	O	O	O
de	de	ADP	O	O	O
nuit	nuit	NOUN	O	O	O
,	,	PUNCT	O	O	O
la	le	DET	O	O	O
scène	scène	NOUN	O	O	O
était	être	AUX	O	O	O
rapetissée	rapetisser	VERB	O	O	O
au	au	ADP	O	O	O
point	point	NOUN	O	O	O
de	de	ADP	O	O	O
paraître	paraître	VERB	O	O	O
minuscule	minuscule	ADJ	O	O	O
.	.	PUNCT	O	O	O

Il	il	PRON	O	O	O
y	y	PRON	O	O	O
avait	avoir	VERB	O	O	O
une	un	DET	O	O	O
atmosphère	atmosphère	NOUN	O	O	O
étonnante	étonnant	ADJ	O	O	O
...	...	PUNCT	O	O	O

On	on	PRON	O	O	O
se	se	PRON	O	O	O
marchait	marcher	VERB	O	O	O
sur	sur	ADP	O	O	O
les	le	DET	O	O	O
pieds	pied	NOUN	O	O	O
en	en	ADP	O	O	O
dansant	danser	VERB	O	O	O
.	.	PUNCT	O	O	O

C'	ce	PRON	O	O	O
était	être	AUX	O	O	O
parfait	parfait	ADJ	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
......	......	PUNCT	O	O	O
—	—	PUNCT	O	O	O
Le	le	DET	O	O	O
spectacle	spectacle	NOUN	O	O	O
était	être	AUX	O	O	O
excellent	excellent	ADJ	O	O	O
.	.	PUNCT	O	O	O

Une	un	DET	O	O	O
danseuse	danseur	NOUN	O	O	O
javanaise	javanais	ADJ	O	O	O
inouïe	inouï	ADJ	O	O	O
...	...	PUNCT	O	O	O
un	un	DET	O	O	O
danseur	danseur	NOUN	O	O	O
acrobate	acrobate	NOUN	O	O	O
américain	américain	ADJ	O	O	O
qui	qui	PRON	O	O	O
valsait	valser	VERB	O	O	O
sur	sur	ADP	O	O	O
la	le	DET	O	O	O
tête	tête	NOUN	O	O	O
,	,	PUNCT	O	O	O
sur	sur	ADP	O	O	O
les	le	DET	O	O	O
mains	main	NOUN	O	O	O
,	,	PUNCT	O	O	O
sur	sur	ADP	O	O	O
les	le	DET	O	O	O
genoux	genou	NOUN	O	O	O
et	et	CCONJ	O	O	O
dont	dont	PRON	O	O	O
Tout	tout	ADJ	O	O	O
Paris	paris	PROPN	O	O	O
sera	être	AUX	O	O	O
toqué	toquer	VERB	O	O	O
dès	dès	ADP	O	O	O
ce	ce	DET	O	O	O
soir	soir	NOUN	O	O	O
.	.	PUNCT	O	O	O

On	on	PRON	O	O	O
raconte	raconter	VERB	O	O	O
qu'	que	SCONJ	O	O	O
il	il	PRON	O	O	O
s'	se	PRON	O	O	O
est	être	AUX	O	O	O
évadé	évader	VERB	O	O	O
douze	douze	NUM	O	O	O
fois	fois	NOUN	O	O	O
de	de	ADP	O	O	O
Sing	sing	PROPN	O	O	O
-	-	PROPN	O	O	O
Sing	sing	PROPN	O	O	O
,	,	PUNCT	O	O	O
la	le	DET	O	O	O
prison	prison	NOUN	O	O	O
américaine	américain	ADJ	O	O	O
,	,	PUNCT	O	O	O
tant	tant	SCONJ	O	O	O
il	il	PRON	O	O	O
est	être	AUX	O	O	O
adroit	adroit	ADJ	O	O	O
!	!	PUNCT	O	O	O

—	—	PUNCT	O	O	O
......	......	PUNCT	O	O	O
—	—	PUNCT	O	O	O
Un	un	DET	O	O	O
repris	repris	NOUN	O	O	O
de	de	ADP	O	O	O
justice	justice	NOUN	O	O	O
?	?	PUNCT	O	O	O

Oh	oh	INTJ	O	O	O
!	!	PUNCT	O	O	O

ma	mon	DET	O	O	O
chère	chère	NOUN	O	O	O
!	!	PUNCT	O	O	O

si	si	SCONJ	O	O	O
nous	nous	PRON	O	O	O
en	en	PRON	O	O	O
sommes	être	VERB	O	O	O
à	à	ADP	O	O	O
ne	ne	ADV	O	O	O
pas	pas	ADV	O	O	O
vouloir	vouloir	VERB	O	O	O
regarder	regarder	VERB	O	O	O
les	le	DET	O	O	O
gens	gens	NOUN	O	O	O
qui	qui	PRON	O	O	O
ont	avoir	AUX	O	O	O
été	être	AUX	O	O	O
en	en	ADP	O	O	O
